2024-10-12 0:38:37, 29.94, 46.30, 3, 880, 545
2024-10-12 0:53:37, 30.02, 45.59, 3, 861, 484
2024-10-12 1:8:38, 29.98, 45.77, 3, 851, 450
2024-10-12 1:23:38, 29.84, 45.57, 4, 975, 893
2024-10-12 1:38:38, 29.87, 45.95, 3, 889, 575
2024-10-12 1:53:38, 29.86, 45.83, 3, 853, 456
2024-10-12 2:8:39, 29.77, 45.99, 3, 847, 440
2024-10-12 2:23:39, 29.75, 45.96, 4, 942, 765
2024-10-12 2:38:39, 29.88, 47.78, 4, 1048, 1194
2024-10-12 2:53:39, 29.72, 49.27, 4, 1063, 1258
2024-10-12 3:8:40, 29.59, 50.03, 4, 1130, 1568
2024-10-12 3:23:40, 29.45, 51.31, 5, 1358, 2781
2024-10-12 3:38:40, 29.43, 51.89, 4, 1177, 1797
2024-10-12 3:53:41, 29.40, 52.12, 5, 1658, 4731
2024-10-12 4:8:41, 29.46, 52.67, 5, 1452, 3351
2024-10-12 4:23:41, 29.44, 52.42, 4, 1186, 1841
2024-10-12 4:38:42, 29.46, 52.05, 4, 1107, 1460
2024-10-12 4:53:42, 29.49, 52.48, 4, 1082, 1347
2024-10-12 5:8:42, 29.45, 52.58, 4, 1037, 1145
2024-10-12 5:23:42, 29.45, 53.64, 4, 1004, 1011
2024-10-12 5:38:43, 29.43, 52.86, 4, 1015, 1054
2024-10-12 5:53:43, 29.39, 52.35, 4, 1029, 1210
2024-10-12 6:8:43, 29.37, 52.40, 4, 995, 974
2024-10-12 6:23:44, 29.38, 52.18, 4, 1019, 1071
2024-10-12 6:38:44, 29.35, 51.89, 4, 1052, 1213
2024-10-12 6:53:44, 29.41, 51.80, 4, 1021, 1079
2024-10-12 7:8:45, 29.38, 51.99, 4, 1004, 1010
2024-10-12 7:23:45, 29.37, 52.02, 4, 1002, 1001
2024-10-12 7:38:45, 29.35, 52.48, 4, 1137, 1599
2024-10-12 7:53:46, 29.34, 52.59, 4, 1106, 1456
2024-10-12 8:8:46, 29.28, 52.40, 5, 1352, 2746
2024-10-12 8:23:46, 29.30, 52.15, 4, 1236, 2098
2024-10-12 8:38:47, 29.26, 52.63, 5, 2131, 6250
2024-10-12 8:53:47, 29.30, 52.50, 5, 2109, 6187
2024-10-12 9:8:47, 29.28, 52.32, 5, 1695, 4998
2024-10-12 9:23:47, 29.29, 52.24, 5, 1514, 3750
2024-10-12 9:38:48, 29.33, 51.97, 5, 1638, 4589
2024-10-12 9:53:48, 29.30, 51.57, 5, 1399, 3024
2024-10-12 10:8:48, 29.28, 51.02, 5, 1306, 2479
